Sale_ID,Sale_Date,Customer_ID,Product_ID,Product_Category,Store_ID,Region,Quantity_Sold,Unit_Price,Payment_Method,Returned,Total_Sale_Amount
T00001,4/12/2024,C0080,P0004,Home,S001,West,9,200.59,Net Banking,No,1805.31
T00002,12/14/2024,C0002,P0015,Toys,S009,North,1,200.59,Credit Card,No,200.59
T00003,9/27/2024,C0128,P0006,Electronics,S006,East,2,200.59,Credit Card,Yes,401.18
T00004,4/16/2024,C0160,P0049,Toys,S004,North,5,200.59,Credit Card,No,1002.95
T00005,3/12/2024,C0084,P0030,Electronics,S009,West,4,200.59,Net Banking,No,802.36
T00006,7/7/2024,C0152,P0038,Clothing,S005,East,9,200.59,Cash,No,1805.31
T00007,1/21/2024,C0140,P0002,Electronics,S005,West,7,200.59,UPI,No,1404.13
T00008,4/12/2024,C0178,P0015,Grocery,S005,North,6,200.59,UPI,No,1203.54
T00009,5/1/2024,C0163,P0011,Home,S001,East,7,200.59,Net Banking,No,1404.13
T00010,8/2/2024,C0124,P0008,Clothing,S001,North,1,200.59,UPI,Yes,200.59
T00011,11/26/2024,C0033,P0026,Electronics,S008,West,1,200.59,Credit Card,No,200.59
T00012,3/28/2024,C0161,P0045,Toys,S008,West,8,200.59,Cash,No,1604.72
T00013,4/9/2024,C0189,P0044,Clothing,S006,North,2,200.59,UPI,No,401.18
T00014,12/25/2024,C0179,P0005,Clothing,S004,East,9,200.59,Cash,No,1805.31
T00015,5/31/2024,C0171,P0006,Electronics,S002,North,7,200.59,Credit Card,No,1404.13
T00016,5/10/2024,C0101,P0026,Clothing,S002,West,6,200.59,UPI,Yes,1203.54
T00017,5/29/2024,C0012,P0004,Toys,S009,North,1,200.59,Net Banking,No,200.59
T00018,11/4/2024,C0067,P0019,Clothing,S005,West,1,200.59,Cash,No,200.59
T00019,9/14/2024,C0065,P0020,Toys,S004,North,2,200.59,Credit Card,No,401.18
T00020,12/9/2024,C0161,P0033,Electronics,S010,East,6,200.59,Cash,No,1203.54
T00021,10/20/2024,C0168,P0020,Home,S001,East,6,200.59,UPI,No,1203.54
T00022,7/10/2024,C0074,P0049,Clothing,S007,North,2,200.59,UPI,No,401.18
T00023,10/3/2024,C0043,P0012,Home,S003,North,1,200.59,Net Banking,Yes,200.59
T00024,6/9/2024,C0044,P0047,Toys,S006,East,5,200.59,Credit Card,No,1002.95
T00025,11/9/2024,C0029,P0001,Clothing,S005,West,5,200.59,Credit Card,No,1002.95
